X,Y,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_street,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,hidden,changeset_version,emergency,changeset_timestamp,addr_housenumber,addr_postcode,health_amenity_type,addr_city,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type,notes
,,264852922,way,24,,pharmacy,,Rue King Est,,,112588056,,,+1-819-569-9251,88007d928de24b9891d4d97cc2b27de6,,,,,,0,5,,2021/10/16 17:36:52,610,J1G 1B8,,,Uniprix,,observatoire,yes,,,,,,
-79.6637205450003,44.3529929842439,8855439226,node,27,,dentist,denturist,Huronia Road,,,106740434,,,,0c89cef7c7da41c5bb145103b5ae1564,,,,,,0,1,,2021/06/21 23:08:50,411,L4N 9B3,,Barrie,First Impression Denture Clinic,,SpaceDragon182731,,,,,dentist,,
-79.2266083178151,43.7617612784838,6594582090,node,12,,pharmacy,,,,,71982811,,,,a3e7c16f81ea44d09150d4a3f499d9c4,,,,,,0,1,,2019/07/07 13:46:30,,,,,,,DannyMcD,,,,yes,pharmacy,,
,,286557111,way,18,,pharmacy,,,Loblaw Companies Limited,,73394022,,,,7175b2d9f8944283861b12943274877f,,,,,,0,4,,2019/08/15 22:44:10,,,,,Shoppers Drug Mart,,DannyMcD,,,,yes,pharmacy,,
-79.4674281073411,44.057933480187,1807746555,node,12,,doctors,,,,,112672304,,,,015371c600c546d49ec2552ffe61149c,,,,,,0,3,,2021/10/18 22:18:33,,,,,Medical Centre,,andrewpmk,,,,,doctor,,
-79.2140284222561,43.1565501507918,6510364186,node,12,,,chiropractic,,,,70755225,,,,89e7597692b644a2a942235d49a4204f,,,,,,0,1,,2019/05/30 04:52:50,,,,,Dr. Michael Nazar,,DannyMcD,,,,,alternative,,
-75.8668820221483,45.2824787395042,7341566265,node,21,,pharmacy,,Eagleson Road,,,82766137,,,,16affce99cb7461e91140e640e982f50,,,,,,0,1,,2020/03/28 22:53:57,760,K2M 0A7,,,Drugstore Pharmacy,,DannyMcD,,,,,pharmacy,,
-79.4585907315491,43.8661869677139,6736794496,node,12,,clinic,,,,,73641363,,,,8160ce8a52bc4a22b6e7a9981f2b622c,,,,,,0,1,,2019/08/22 20:35:55,,,,,Family Medical Clinic,,andrepoiy,,,,,clinic,,
-75.6965169064805,45.4148828862514,7341652362,node,21,,pharmacy,,Bank Street,,,82766460,,,,eecf1c4e3aee40c9a62af00aa456eab3,,,,,,0,1,,2020/03/28 23:18:12,296,K2P 1X4,,,Loblaw Pharmacy,,DannyMcD,,,,,pharmacy,,
-79.510989361048,43.6602457860355,6314004652,node,9,,,,,,,67733428,,,,b05062bf56804834b9460f622295c5a3,,,,,,0,1,,2019/03/03 10:40:35,,,,,The H.O.P.E. Clinic,,DannyMcD,,,,,alternative,,
,,579333591,way,9,,,,,,,58040696,,,,c9368a15b6a64009a317a74acb109eea,,,,,,0,1,,2018/04/12 16:37:32,,,,,Coastal Vision Clinic,,snsmith44,,,,,optometrist,,
-125.232423465833,50.0057582912887,5451797454,node,21,,dentist,,South Island Highway,,,56854075,,,,ca971b950c554856a5341f816b640399,,,,,,0,1,,2018/03/03 18:37:23,97,,,Campbell River,Above Shore Dental Centre,,grimconch,,,,,dentist,,
-71.2269766744975,46.8071181768386,345883526,node,15,,dentist,,Rue Saint-Jean,,,490260,,,,3186c284dd9c4a17856cb298b707d137,,,,,,0,1,,2009/02/16 00:55:31,60,,,,Clinique de santé dentaire Salaberry,,fsteggink,,,,,,,
-73.624688054516,45.4738656683312,5536207070,node,21,,clinic,,Avenue de Monkland,,,57895277,,,,e2f9e5f548db437688da2c6aa8aa3815,,,,survey,,0,1,,2018/04/07 16:32:54,5757,,,Montréal,Alter Med,,saintam1,,,,,,,
,,255976982,way,30,,hospital,,Government Road East,Kirkland and District Hospital,,87619754,,,,c86db4ef4a384d92892589639206a3ee,,,,,,0,3,yes,2020/07/06 21:16:55,145,P2N 3P4,,Kirkland Lake,Kirkland and District Hospital,,Hannes Röst,,,,,hospital,,
-63.503205869837,44.9656265386532,1242687718,node,6,,doctors,,,,,79734803,,,,78969425daa94f87b7620e7ac2c77854,,,,,,0,2,,2020/01/18 16:14:12,,,,,,,didier2020,,,,,,,
-75.6771299835353,45.4388799397611,5931838126,node,18,,dentist,,Beechwood Avenue,,,81059725,,,,56e875b94b9d4df0bc02cc02ee5cca02,,,,,,0,3,,2020/02/16 01:19:42,16,,,,Beechwood Dental Clinic,,DannyMcD,,,,,dentist,,
-73.6984787258373,45.3595815198645,7975357572,node,12,,,"osteopathy;massage_therapy",,,,91951975,,,,4c065680a1984a5b824882ac06990c53,,,,,,0,1,,2020/10/05 03:10:52,,,,,Clinique Santé Globale de Châteauguay,,ChaireMobiliteKaligrafy,,,,,alternative,,
,,478750903,way,27,,dentist,,Woodroffe Avenue,,,81059725,,,,a83965fa9a0b4a4ea60d5fcfedf60072,,"Mo-Tu,Th 09:00-19:00; We 09:00-18:00; Fr 09:00-17:00; Sa 08:00-14:00",,City of Ottawa,,0,6,,2020/02/16 01:19:42,3050,K2J 4G3,,,Queensbury Dental,,DannyMcD,,,,,dentist,,
,,386278176,way,18,,dentist,,Rue Racine Ouest,,,36001615,,,,d498bc05dc3f448bae5b2f62d0940216,,,,,,0,1,,2015/12/17 03:23:57,58,,,Saguenay,Clinique Dentaire Dion,,silentmapping,,,,,,,
,,406035514,way,21,,pharmacy,,Rue Lafontaine,,,81000498,,,,9939b8aa65d44ed5b6c599136aba209d,,,,,,0,2,,2020/02/14 09:42:30,240,G5R 3A7,,Rivière-du-Loup,Pharmacie Jean Coutu,,kartler175,,,,,,,
-123.120376314604,49.2863066848455,6187359782,node,12,,pharmacy,,,,,77094553,,,,4929c8314beb47988f30bf8ef98aaca3,,,,,,0,2,,2019/11/14 20:51:58,,,,,Bentall Pharmacy,,QuigleyJones,,,,,pharmacy,,
,,465035660,way,24,,pharmacy,,Avenue de Buckingham,,,63952201,,,,e505db1d46154ac1be9d0026f91c6fa5,,,,,,0,5,,2018/10/28 14:48:59,620,J8L 2H5,,Gatineau,Uniprix,,Matthew Darwin,yes,,,,,,
-79.4637266588996,44.2161815489891,2854278053,node,9,,dentist,,,,,63928842,,,,667b08757b9a408cac452112c24fcc2c,,,,,,0,3,,2018/10/27 13:59:05,,,,,Keswick Dental Centre,,Matthew Darwin,,,,,,,
-79.4587936574249,43.8672050336733,8042972677,node,24,,,chiropractic,Headdon Gate,,,92999104,,,,5f7c433c7c2546e389d87cccc7cb9444,,,,,,0,1,,2020/10/24 20:19:27,10,L4C 8A2,,Richmond Hill,Black Family's Chiropractor,,andrepoiy,,,,,alternative,,
,,469057169,way,6,,pharmacy,,,,,45511945,,,,9a3fd606cd124329b2b6a0b05255f83d,,,,,,0,1,,2017/01/26 13:05:51,,,,,,,Offspring153,,,,,,,
-113.639375803257,53.5241019624114,2023450344,node,15,,pharmacy,,,,,13949535,,,,93bb87eda5c443838d16e474a914aa5c,,,,local_knowledge,,0,2,,2012/11/20 19:41:19,,,,,Belmead Pharmacy,,Sundance,,,,yes,,,
-63.3187621743229,46.4628347729287,6694548044,node,12,,pharmacy,,,,,110478802,,,,a15bf859755042c6862f95aeeb1da684,,,,,,0,2,,2021/08/30 20:13:31,,,,,Murphy's Rustico Pharmacy,,Rps333,,,,,pharmacy,,
-79.5656048362982,43.7107663663093,6329886747,node,9,,,,,,,68005519,,,,2e9067b18c62411abe790a06229742cc,,,,,,0,1,,2019/03/11 00:59:05,,,,,Nova Health Clinic,,DannyMcD,,,,,physiotherapist,,
-79.7264831463162,43.4767046538551,4515420589,node,9,,pharmacy,,,,,43871422,,,,d74181c88f8c49cebc6dc0d03ea4735e,,,,,,0,1,,2016/11/22 14:07:14,,,,,Oak Park Pharmacy & Medical Clinic,,Bootprint,,,,,,,
,,359642909,way,9,,hospital,,,,,78861000,,,,cf52cd814641420788696747cd22743b,,,,,,0,8,,2019/12/26 03:00:48,,,,,Hôpital de Magog,,ulgeo,,,,,,,
-81.2296784063905,42.9892468605342,5372894221,node,24,,doctors,,Dundas St,,,71198384,,,,a871d40b5425467995957c9157eaafb6,,,,,,0,3,,2019/06/13 01:00:25,659,,,London,London InterCommunity Health Centre,,mapman44,yes,,,,doctor,,
,,207242554,way,12,,pharmacy,,,,,15167470,,,,469de2a0855e44c19864c90244122b95,,,,Bing,,0,2,,2013/02/25 22:17:48,,,,,Pharmasave,,Sundance,,,,,,,
,,785367011,way,30,,hospital,,Algoma Street North,St. Joseph's Care Group,,82756898,,,,e3c61c43f4854ccaae671c6132353b34,,,,,,0,1,no,2020/03/28 15:56:02,35,P7B 5G7,,Thunder Bay,St. Joseph's Care Group,,DannyMcD,,,,,hospital,,
,,542006213,way,21,,,chiropractic,49 Avenue,,,74647295,,,,5ff8f1a8019541828d72c9debc195b3f,,,,,,0,5,,2019/09/18 22:46:51,4901,,,Olds,Chiropractic Health Centre,,Matthew Darwin,,,,,alternative,,
,,492185593,way,9,,hospital,,,,,48511782,,,,9817b4848a344821825825997f47118f,,,,,,0,1,,2017/05/08 19:26:51,,,,,Hôpital du Sacré-Coeur,,Martin868,,,,,,,
-92.086264982594,62.8108853953249,7015043527,node,12,,clinic,,,,,77647373,,,,eea525a10eb64bc6b7f695e4a86940a3,,,,,,0,1,,2019/11/27 17:45:11,,,,,Public Health,,Rps333,,,,,clinic,,
,,550936290,way,24,,clinic,"general;family_medicine;pharmacy",Ellice Avenue,Red River Clinic,,56804644,,,,b5f8fd7484dd44ca8b020b7816404fd8,,,,,,0,4,,2018/03/02 01:15:44,724,,,Winnipeg,Red River Clinic & Pharmacy,,Matthew Darwin,,,,,,,
-75.7335160520119,45.4351976858779,6465280510,node,15,,doctors,,Rue Taschereau,,,70118572,,,,bb30dba55a104ecaa0ec82119fdf8b27,,,,,,0,1,,2019/05/10 17:27:27,4,,,,Clinique de Radiologie de Hull,,DannyMcD,,,,,,,
-79.3695838046637,43.7710893308875,530275060,node,9,,doctors,,,,,5253517,,,,e8929d8b888a430e919e064947017052,,,,,,0,2,,2010/07/18 17:34:21,,,,,ICL Medical Lab,,Ropino,,,,,,,
-123.090371364357,49.2483624797313,7714943034,node,9,,dentist,,,,,87999123,,,,d98a2c52d2e54fbbbc1ef4048b4e708d,,,,,,0,1,,2020/07/14 22:31:37,,,,,,,3ngineer,,,,,dentist,,
-79.2876943708582,43.6901437831983,5220419141,node,12,,pharmacy,,,,,53650041,,,,2d87454313cd4335bb944289ada4dcfd,,,,,,0,1,,2017/11/09 20:36:06,,,,,Main Drug Mart,,JoHoDa,,,,,pharmacy,,
,,68607667,way,24,,pharmacy,,Orléans Boulevard,,,67771816,,,,dc27818d1d2e428cbbc843442cc824bc,,,,City of Ottawa,,0,9,,2019/03/04 15:42:06,1615,,,,Rexall,,DannyMcD,,,,yes,pharmacy,,
-72.3720437220951,46.1062088489578,6835670585,node,18,,clinic,,Rue Béliveau,,,75070268,,,,4f087f1638f847778351813cbf7c89e0,,,,,,0,1,,2019/09/29 19:10:34,346,J0C 1M0,,,Clinique de physiothérapie St-Léonard,,Emmanu09,,,,,,,
,,738303209,way,12,,pharmacy,,,,,76166525,,,,21d2e391ea9a464da898e15b864685cb,,,,,,0,2,,2019/10/24 16:55:59,,,,,Remedy'sRx,,DannyMcD,,,,,pharmacy,,
-79.6666124692332,43.5682691508557,3986680440,node,12,,pharmacy,,,,,72726346,,,,58e602d1921f4c2aacec079d59c9f605,,,,,,0,2,,2019/07/27 22:35:41,,,,,Guardian,,DannyMcD,,,,,pharmacy,,
-75.2934614415367,45.2700400790137,5888798622,node,21,,doctors,chiropractic,Notre Dame Street,,,62355321,,,,b4f475d9d0dd4dc1bc9b7d3b9fbc2ce9,,,,,,0,1,,2018/09/06 20:44:55,851,,,,Adio Chiropractic,,DannyMcD,,,,,alternative,,
,,593943480,way,18,,,,Spratt Road,,,88272532,,,,52ddefda82a84bfdb65a23a9927b2e56,,,,,,0,4,,2020/07/21 03:40:42,3771,K1V 2P3,,,Optimize Physiotherapy & Sport Medicine,,DannyMcD,,,,,physiotherapist,,
-60.0218622662551,46.2112958703483,4601962258,node,9,,pharmacy,,,,,63102470,,,,f4c7158d535241b5b9358808f4397729,,,,,,0,2,,2018/10/01 18:04:21,,,,,Pharmasave,,snsmith44,,,,,,,
-73.6721960111512,45.5244665472374,6699461042,node,9,,,,,,,73230131,,,,4b7fcc185c974191bdfc9b608ab86f72,,,,,,0,1,,2019/08/10 22:10:08,,,,,Dynacare,,koopa375,,,,,laboratory,,
,,377436353,way,12,,hospital,,,,,61748606,,,,fa345baa5b1646bcb2e2f0d76c33bfbf,,,,,,0,5,yes,2018/08/17 14:36:29,,,,,Hôtel-Dieu Saint-Jérôme,,FRANCOIS POIRIER,,,,,,,
-123.007769049686,49.2811720985995,9173672327,node,12,,,chiropractic,,,,112526380,,,,b7b6fbeaae2342b4a149a8a352bc44bc,,,,,,0,2,,2021/10/15 03:56:53,,,,,Burnaby Heights Chiropractic,,Fleezing,,,,,alternative,,
,,315691121,way,18,,clinic,,,,,63952448,,,,fadc5eceae914947af87b97e1f12bfd7,,,,,,0,4,yes,2018/10/28 14:59:43,,S0J 1L0,,La Ronge,La Ronge Health Centre,,Matthew Darwin,,,,,,,
-122.315040878398,49.0570242497618,7684175127,node,21,,doctors,general,Gladwin Road,,,87545373,,,,5657143eb2fe4fdaa0af080ae15dd2e9,,,,,,0,1,,2020/07/05 03:14:59,3010,,,,Omnicare Medical Clinic,,lokejul,,,,,doctor,,
,,560871132,way,21,,dentist,,Beaverwood Road,,,80481437,,,,1ebf4d902c484bdf998fc6a273350e44,,"Tu,Fr,Sa 09:00-17:00; We 09:00-19:00",,,,0,2,,2020/02/03 13:31:55,1160,,,,Dr. Robert Segal Family Dentistry,,Adam Martin,,,,,dentist,,
-73.4302637754361,45.4761533411643,2810859731,node,12,,pharmacy,,,,,73593877,,,,af4504fc913e48eeac6bc9aa65016170,,,,,,0,2,,2019/08/21 19:07:55,,,,,Pharmacie Brunet,,ChaireMobiliteKaligrafy,,,,,pharmacy,,
-63.6760641826038,44.6835409634234,32031358,node,12,,pharmacy,,,,,146876,,,,fbf85ba607d34bdabfd2aa7d275f29e2,,,,,,0,1,,2007/07/16 17:50:13,,,,,Lawtons Drugs,,Steve in Halifax,,,,yes,,,
,,561087171,way,18,,clinic,,Meadowlands Drive,,,58411474,,,,0c89f332875c47d5b9762d0b349966a9,,,,City of Ottawa,,0,2,,2018/04/25 15:08:16,888,,,,Chiropractor,,zzptichka,,,,,,,
-114.126635280749,51.0868382253358,5155707763,node,12,,doctors,,,,,82236079,,,,e18cd42bdad94539b34c76254054c9b5,,,,,,0,2,,2020/03/16 04:23:23,,,,,Brentwood Family Medical Centre,,Leah Zaitlin,,,,,doctor,,
,,94356803,way,24,,clinic,general,,C.W. Wiebe Mediacl centre,,74654553,,,,4690c0575e37424581bbd515a3d2454c,,,,Manitoba Lands Initiative,,0,3,,2019/09/19 06:37:31,,,,,C.W. Wiebe Mediacl centre,,Azzitizz,,,,,clinic,public,
-73.4855549159011,45.5405559456551,6731876257,node,12,,dentist,,,,,73578769,,,,5c942c31c0f34fc6b8fa187f1aae6bf8,,,,,,0,1,,2019/08/21 12:34:02,,,,,Denturologiste,,ChaireMobiliteKaligrafy,,,,,dentist,,
-113.2749646838,53.5126778474811,3056650819,node,24,,dentist,,Wye Road,,,80922211,,,,1b41e764f2fc4150bf4787844bd15e40,,,,,,0,3,,2020/02/12 20:13:49,664,T8A 6G3,,Sherwood Park,Nottingham Dental,,Rps333,,,,,dentist,,
-79.4842480724394,43.6495441911587,6342369300,node,21,,dentist,,Bloor Street West,,,81463442,,,,4919404643b24d1c9ae0dca10285c781,,,,,,0,3,,2020/02/25 16:17:12,2436A,,,Toronto,Bloor Smile Dental,,Rps333,,,,,dentist,,
-79.4178828453205,43.6635028259706,6362849280,node,9,,,,,,,68552276,,,,d69c968d498e48b78f6767cbc56f87d1,,,,,,0,1,,2019/03/26 15:46:58,,,,,Toronto Healing Arts Centre,,Bootprint,,,,,alternative,,
-75.7874270283004,45.3634803621256,3618531981,node,15,,,,Carling Avenue,,,68865512,,,,a000d5ea4a46434ab3fb7af9036ea710,,,,,,0,4,,2019/04/04 04:03:14,2571,,,,CBI Health Centre,,DannyMcD,,,,,physiotherapist,,
,,288820995,way,9,,pharmacy,,,,,57065915,,,,5d066be3c60c44849deafc15bed06188,,,,,,0,2,,2018/03/10 19:19:46,,,,,Green's Drug Mart,,Shelby Ruth,,,,,,,
-79.3743799296596,43.6486192481435,2511915751,node,12,,dentist,,,,,71973498,,,,5c564711843b4031a5c800aa40d0179a,,,,,,0,3,,2019/07/07 05:13:16,,,,,Dentistry on Wellington,,Timothy Smith,,,,,dentist,,
,,117019339,way,18,,hospital,,,,,79137880,,,,a4d29823dec145f7a6f3fb919aacabf0,,,,NRCan-CanVec-7.0,,0,4,yes,2020/01/03 02:52:51,,,,,Grand Manan Hospital,,Rps333,,,,,hospital,,
-114.130874009184,51.0066080730824,4520586648,node,27,,pharmacy,,Richard Way SW,Tariq Fareedy,,78985682,,,,ce1b6e5c576348098eae0fafdefdd4ff,,,,,,0,7,,2019/12/29 17:58:52,13-10,T3E 7M9,,Calgary,Calgary Drug Mart,,Adam Martin,,,,,pharmacy,,
-123.025861722963,49.2320683952381,2807280509,node,33,,clinic,chiropractic,Kingsway,,,76396413,,,,9425ad6564594e3bb75efd16c3de36df,,"Tu, Th 14:00-21:00; We, Fr 10:00-15:00; Sa, Su 12:00-17:00, Mo off",,,,0,8,,2019/10/30 13:44:00,3632,V5R 5M2,,Vancouver,Spine + Muscle,,user_5359,yes,,,,alternative,,
,,630832803,way,21,,clinic,acupuncture,Calypso Street,,,67897776,,,,9c57cc27faa943ae8569ed0a2f23d44c,,,,,,0,2,,2019/03/07 19:46:32,1478,,,,Limoges Acupuncture Clinic,,thetornado76,,,,,alternative,,
-75.6899643536746,45.4263470666789,6100578091,node,18,,dentist,,Nicholas Street,,,81059725,,,,211b009921ed46dd986d8f0526b4eb34,,,,,,0,2,,2020/02/16 01:19:42,1,,,,PermaSmile Dentistry,,DannyMcD,,,,,dentist,,
,,668488629,way,21,,dentist,,Montréal Road,,,81059725,,,,b113725da4c146acb5e154192ed49172,,,,City of Ottawa,,0,2,,2020/02/16 01:19:42,2200,,,,Beacon Hill Dental Centre,,DannyMcD,,,,,dentist,,
,,143630884,way,15,,hospital,,,,,12506247,,,,b18b59aebe884c8f8052ef6af6a4f5b9,,,,NRCan-CanVec-8.0,,0,2,yes,2012/07/27 02:50:29,,,,,Hotel Dieu d'Alma,,Bleuet Mapper,,,,,,,
-61.6628439445614,45.1826291503116,2435959393,node,9,,doctors,,,,,17564226,,,,7c9bfa3bc18d47a69c2dd50b0a391ab0,,,,NRCan-CanVec-10.0,,0,1,,2013/08/29 00:39:49,,,,,,,506imports,,,,,,,
-80.3035367790393,42.8369727417619,5148103553,node,12,,pharmacy,,,,,78819476,,,,f97c7e5813cc4cba8dc0e9c328ddd196,,,,,,0,2,,2019/12/24 12:52:08,,,,,Roulston's Pharmacy,,Rps333,,,,,pharmacy,,
-79.4368670178182,43.8047779599415,1444960866,node,18,,pharmacy,,,Loblaw Companies Limited,,74017767,,,,d2ebaa881c4b4cb3af5ac47ba0ff0394,,,,,,0,6,,2019/09/03 02:48:15,,,,,Shoppers Drug Mart,,Matthew Darwin,,,,yes,pharmacy,,
-75.7574453797439,45.2862394480011,5724408342,node,15,,doctors,,Green Street,,,60232901,,,,642f98c22f3b4577ad0e30ed417b56c8,,,,,,0,1,,2018/06/28 02:31:16,10,,,,Health Treasure Medical Centre,,DannyMcD,,,,,,,
-79.4823495713705,43.6499604364703,2405823213,node,24,,dentist,,Bloor Street West,,,112094050,,,,a1ca112db87b4481b8cef2f1231c508e,,,,,,0,6,,2021/10/04 20:13:47,2382,,,Toronto,Bright Life Dental,,andrewpmk,yes,,,,dentist,,
-79.6516348464525,43.7096516570063,2207201508,node,12,,doctors,,,,,111672385,,,,e4750ff0594e41a2a0c9564aeffd5283,,,,,,0,2,,2021/09/25 04:11:11,,,,,Airport Medical Centre,,andrewpmk,,,,,doctor,,
-73.5770745697198,45.5160925230529,1571409601,node,15,,pharmacy,,,,,76271409,,,,dded83475d5b4ba38de7cbfad4d4723e,,,,,,0,3,,2019/10/27 17:15:28,,,,,Pharmaprix,,lionirdeadman,yes,,,,pharmacy,,
-65.973063140317,45.4074988486507,8071958686,node,24,,dentist,,Pettingill Road,,,94119555,,,,202173a3741c4a0daf933ee3a1434622,,,,,,0,2,,2020/11/14 20:00:22,17,E2E 2R9,,Quispamsis,Bailey Buckley Family Dentistry,,Matthew Darwin,,,,,dentist,,
,,71181906,way,9,,hospital,,,,,5412759,,,,e3d4ae1103b846fc918e6d38dcaadd4f,,,,CanVec 6.0 - NRCan,,0,1,,2010/08/05 23:18:04,,,,,,,Tygunn,,,,,,,
-72.5713384736521,45.644661278546,5329459267,node,24,,pharmacy,,Rue de Roxton,,,71641773,,,,49ed3539836b4e97ab0e2fcd5f3271d0,,,,image,,0,2,,2019/06/26 15:22:57,725,J0H 1A0,,,Uniprix Pharmacie,,Sébastien Benoit,,,,,pharmacy,,
-79.4712810167728,43.8445587238601,7115537840,node,15,,pharmacy,,,,,79313132,,,,700dcf66bded46f1a2c16039e11ff60b,,,,,,0,1,,2020/01/07 22:27:41,,,,,Thornhill Woods Pharmacy,,andrepoiy,,,,yes,pharmacy,,
-74.6019677569478,45.593150041136,5180554117,node,24,,pharmacy,,Cameron Street,,,78077156,,,,4c1a80f1ddac4ed09954995bd6f949a9,,,,,,0,3,,2019/12/07 01:58:09,1560,K6A 3S5,,Hawkesbury,Loblaw Pharmacy,,Lucas514,,,,,pharmacy,,
-104.63640872476,50.47473675414,8870079950,node,9,,pharmacy,,,,,107044495,,,,7b3ef148f8124bc18da889d8e8688e7f,,,,,,0,1,,2021/06/27 17:01:46,,,,,Remedy's Rx Regent Park Pharmacy,,johnnyw03,,,,,,,
-79.5544985631362,43.6316805952963,6310130604,node,12,,,chiropractic,,,,67675685,,,,58c987e01e6c488e9dbd6b187a40cbb1,,,,,,0,1,,2019/03/01 07:25:56,,,,,Health for Life Chiropractor,,DannyMcD,,,,,alternative,,
-76.2530512211398,44.9044815608308,7024442698,node,9,,doctors,,,,,77792341,,,,917e3ba4d2f14022994bfbbd4e2fc508,,,,,,0,1,,2019/12/01 22:06:56,,,,,Perth Medical Clinic,,DannyMcD,,,,,,,
-79.9506768441643,43.2653916780708,8990368185,node,9,,,,,,,109353905,,,,32a27369a2854cc4b480c90d8f97dfd7,,,,,,0,1,,2021/08/08 16:32:42,,,,,Highland Physiotherapy,,andrewpmk,,,,,physiotherapist,,
-75.6845601216035,44.5870639167917,6760252705,node,12,,doctors,,,,,73932683,,,,e8ca879075ce44ff812b5a6e12fd5643,,,,,,0,1,,2019/08/30 17:21:11,,,,,Brockville Family Health Team,,DannyMcD,,,,,doctor,,
,,191169944,way,12,,,,,Canadian Blood Services,,64619531,,,,37875ccd81054004a01173fc5f248d54,,,,,,0,8,,2018/11/18 13:01:59,,,,,St. John's Blood Donor Clinic,,John Austin,,,,,blood_donation,,
-75.8336167630236,45.3953267326812,6515366695,node,15,,,,Chemin d'Aylmer,,,70840331,,,,1beeaf2215da4edd92ea8f06ad3dc1fa,,,,,,0,1,,2019/06/01 17:33:51,204,,,,Physio Familiale,,DannyMcD,,,,,physiotherapist,,
-72.7484672822667,46.5565362361435,4826317121,node,9,,pharmacy,,,,,48271578,,,,0b121a17f6e6460f8aace7e841b144ea,,,,,,0,1,,2017/04/30 03:23:15,,,,,Proxim pharmacie affiliée - Jean-Sébastien Blais,,marochette,,,,,,,
